,,,,,,,
Please save as excel file & upload to Procurement Notification form.,,,, ORDER TOTAL ,," $2,299.88 ",
Enter the ORDER TOTAL amount listed here into the field 'Quote/Line Item Worksheet Total' in the online Procurement Notification form.,,,,,,,
Line,Item Catalog Number,Item Description including specs & customizations,Quantity, Unit Price ,UoM, Extended Price ,Item URL
,,,,,Each,,
,,,,,Case/Carton,,
1,5033016,computer NUC8i7HVK barebones small form factor,2, $908.99 ,Each," $1,817.98 ",https://www.cdw.com/product/intel-next-unit-of-computing-kit-nuc8i7hvk-mini-pc-core-i7-8809g-3.1-gh/5033016
2,4934196,SSD 1 TB 860 EVO,2, $149.99 ,Each, $299.98 ,https://www.cdw.com/product/samsung-860-evo-mz-n6e1t0bw-solid-state-drive-1-tb-sata-6gb-s/4934196
3,5109903,SDRAM DDR4 SODIMM-260 16 GB non-ECC,2, $69.99 ,Each, $139.98 ,https://www.cdw.com/product/kingston-ddr4-16-gb-so-dimm-260-pin-unbuffered/5109903
4,324473,network cable cat5e 3ft,2, $2.99 ,Each, $5.98 ,https://www.cdw.com/product/tripp-lite-3ft-cat5e-cat5-350mhz-blue-snagless-molded-patch-cable-rj45-m-m/324473
5,4639758,cable mini-DP to DP 3ft,2, $8.99 ,Each, $17.98 ,https://www.cdw.com/product/tripp-lite-mini-displayport-to-displayport-adapter-cable-4k-m-m-black-3ft/4639758
6,4884365,cable HDMI 3ft,2, $8.99 ,Each, $17.98 ,https://www.cdw.com/product/tripp-lite-high-speed-hdmi-cable-w-gripping-connectors-4k-m-m-black-3ft/4884365
7,,,,,, $-   ,
8,,,,,, $-   ,
9,,,,,, $-   ,
10,,,,,, $-   ,
11,,,,,, $-   ,
12,,,,,, $-   ,
13,,,,,, $-   ,
14,,,,,, $-   ,
15,,,,,, $-   ,
16,,,,,, $-   ,
17,,,,,, $-   ,
18,,,,,, $-   ,
19,,,,,, $-   ,
20,,,,,, $-   ,
21,,,,,, $-   ,
22,,,,,, $-   ,
23,,,,,, $-   ,
24,,,,,, $-   ,
25,,,,,, $-   ,
26,,,,,, $-   ,
27,,,,,, $-   ,
28,,,,,, $-   ,
29,,,,,, $-   ,
30,,,,,, $-   ,
31,,,,,, $-   ,
32,,,,,, $-   ,
33,,,,,, $-   ,
34,,,,,, $-   ,
35,,,,,, $-   ,
36,,,,,, $-   ,
37,,,,,, $-   ,
38,,,,,, $-   ,
39,,,,,, $-   ,
40,,,,,, $-   ,
41,,,,,, $-   ,
42,,,,,, $-   ,
43,,,,,, $-   ,
44,,,,,, $-   ,
45,,,,,, $-   ,
46,,,,,, $-   ,
47,,,,,, $-   ,
48,,,,,, $-   ,
49,,,,,, $-   ,
50,,,,,, $-   ,
51,,,,,, $-   ,
52,,,,,, $-   ,
53,,,,,, $-   ,
54,,,,,, $-   ,
55,,,,,, $-   ,
56,,,,,, $-   ,
57,,,,,, $-   ,
58,,,,,, $-   ,
59,,,,,, $-   ,
60,,,,,, $-   ,
61,,,,,, $-   ,
62,,,,,, $-   ,
63,,,,,, $-   ,
64,,,,,, $-   ,
65,,,,,, $-   ,
66,,,,,, $-   ,
67,,,,,, $-   ,
68,,,,,, $-   ,
69,,,,,, $-   ,
70,,,,,, $-   ,
71,,,,,, $-   ,
72,,,,,, $-   ,
73,,,,,, $-   ,
74,,,,,, $-   ,
75,,,,,, $-   ,
76,,,,,, $-   ,
77,,,,,, $-   ,
78,,,,,, $-   ,
79,,,,,, $-   ,
80,,,,,, $-   ,
81,,,,,, $-   ,
82,,,,,, $-   ,
83,,,,,, $-   ,
84,,,,,, $-   ,
85,,,,,, $-   ,
86,,,,,, $-   ,
87,,,,,, $-   ,
88,,,,,, $-   ,
89,,,,,, $-   ,
90,,,,,, $-   ,
91,,,,,, $-   ,
92,,,,,, $-   ,
93,,,,,, $-   ,
94,,,,,, $-   ,
95,,,,,, $-   ,
96,,,,,, $-   ,
97,,,,,, $-   ,
98,,,,,, $-   ,
99,,,,,, $-   ,
100,,,,,, $-   ,
,,,,,, $-   ,
,,,,,, $-   ,
,,,,,, $-   ,
,,,,,, $-   ,
,,,,,, $-   ,
,,,,,, $-   ,
,,,,,, $-   ,
,,,,,, $-   ,
,,,,,, $-   ,
,,,,,, $-   ,
,,,,,, $-   ,
,,,,,, $-   ,
,,,,,, $-   ,
,,,,,, $-   ,
,,,,,, $-   ,
,,,,,, $-   ,
,,,,,, $-   ,
,,,,,, $-   ,
,,,,,, $-   ,
,,,,,, $-   ,
,,,,,, $-   ,
,,,,,, $-   ,
,,,,,, $-   ,
,,,,,, $-   ,
,,,,,, $-   ,
,,,,,, $-   ,
,,,,,, $-   ,
,,,,,, $-   ,
,,,,,, $-   ,
,,,,,, $-   ,
,,,,,, $-   ,
,,,,,, $-   ,
,,,,,, $-   ,
,,,,,, $-   ,
,,,,,, $-   ,
,,,,,, $-   ,
,,,,,, $-   ,
,,,,,, $-   ,
,,,,,, $-   ,
,,,,,, $-   ,
,,,,,, $-   ,
,,,,,, $-   ,
,,,,,, $-   ,
,,,,,, $-   ,
,,,,,, $-   ,
,,,,,, $-   ,
,,,,,, $-   ,
,,,,,, $-   ,
,,,,,, $-   ,
,,,,,, $-   ,
,,,,,, $-   ,
,,,,,, $-   ,
